Year,Korea Athletes,USA Athletes (Rescaled)
1948,49,203.85714285714283
1952,19,190.51190476190473
1956,39,202.45238095238093
1960,42,201.04761904761904
1964,161,248.10714285714283
1968,62,257.94047619047615
1972,47,293.0595238095238
1976,53,292.35714285714283
1980,10,10.0
1984,190,379.4523809523809
1988,423,388.5833333333333
1992,249,422.99999999999994
1994,21,40.202380952380956
1996,303,390.69047619047615
1998,37,52.845238095238095
2000,281,349.24999999999994
2002,46,63.38095238095237
2004,264,312.0238095238095
2006,40,63.38095238095237
2008,265,349.9523809523809
2010,45,70.4047619047619
2012,250,319.74999999999994
2014,71,76.72619047619048
2016,207,319.74999999999994
